Итерация 1: 1738,7194   1538,139   864,0571   -3955,9351   
Итерация 2: 563,8846   400,9164   723,7725   -325,068   
Итерация 3: 403,9412   273,6225   916,386   -156,6461   
Итерация 4: 357,0845   250,3735   967,8557   -122,4808   
Итерация 5: 327,9432   212,4519   998,7349   -74,4518   
Итерация 6: 315,5416   199,7526   1014,8264   -59,0325   
Итерация 7: 308,3455   190,3251   1027,3555   -48,6898   
Итерация 8: 304,6413   183,1019   1036,6274   -41,6551   
Итерация 9: 302,7391   177,112   1044,1775   -36,3606   
Итерация 10: 301,8223   172,419   1049,581   -32,4137   
Итерация 11: 301,3076   168,2648   1054,6818   -29,098   
Итерация 12: 301,0236   165,1131   1058,1161   -26,5784   
Итерация 13: 300,8434   162,3705   1060,9721   -24,377   
Итерация 14: 300,7488   159,9628   1063,8098   -22,5491   
Итерация 15: 300,6461   158,0254   1065,6009   -20,9606   
Итерация 16: 300,6483   155,8539   1068,8436   -19,4651   
Итерация 17: 300,576   154,381   1070,3543   -18,2954   
Итерация 18: 300,5244   153,0293   1071,7456   -17,2263   
Итерация 19: 300,4769   151,9605   1072,6898   -16,3532   
Итерация 20: 300,443   150,9134   1073,6469   -15,5049   
Итерация 21: 300,4204   150,0197   1074,4803   -14,792   
Итерация 22: 300,4223   149,0368   1075,651   -14,0636   
Итерация 23: 300,3828   148,3542   1076,1273   -13,4736   
Итерация 24: 300,4124   147,5331   1077,3753   -12,9337   
Итерация 25: 300,3546   146,8944   1077,6542   -12,3316   
Итерация 26: 300,3549   146,2887   1078,3518   -11,8796   
Итерация 27: 300,4284   144,7167   1082,5099   -11,1723   
Итерация 28: 300,3713   144,4107   1082,4113   -10,8314   
Итерация 29: 300,3278   144,0826   1082,5099   -10,531   
Итерация 30: 300,2712   143,7707   1082,4094   -10,1769   
Итерация 31: 300,2766   143,2822   1082,9664   -9,7999   
Итерация 32: 300,294   142,8396   1083,6731   -9,5176   
Итерация 33: 300,2459   142,5872   1083,5754   -9,2288   
Итерация 34: 300,2262   142,2761   1083,7408   -8,949   
Итерация 35: 300,3295   141,4907   1086,1669   -8,7095   
Итерация 36: 300,3405   141,5683   1086,2097   -8,8299   
