Итерация 1: 1445,9656   1577,4532   841,9286   -3728,3705   
Итерация 2: 563,7978   400,8586   723,888   -324,9878   
Итерация 3: 404,2041   273,5351   916,4949   -156,7167   
Итерация 4: 357,2007   250,296   967,9171   -122,4737   
Итерация 5: 328,4379   212,6745   997,983   -74,792   
Итерация 6: 315,4506   199,7609   1014,895   -59,0081   
Итерация 7: 308,5078   190,5   1026,8026   -48,8559   
Итерация 8: 304,6715   183,1748   1036,363   -41,6895   
Итерация 9: 302,7346   177,1473   1044,1145   -36,3837   
Итерация 10: 301,8293   172,4955   1049,3571   -32,4484   
Итерация 11: 301,3082   168,2573   1054,6895   -29,0928   
Итерация 12: 301,023   165,0476   1058,2639   -26,538   
Итерация 13: 300,8395   162,3972   1060,921   -24,394   
Итерация 14: 300,7457   159,935   1063,8246   -22,5168   
Итерация 15: 300,653   157,9758   1065,7813   -20,9509   
Итерация 16: 300,6262   156,0035   1068,3709   -19,5238   
Итерация 17: 300,5957   154,2218   1070,7718   -18,2263   
Итерация 18: 300,5268   152,9863   1071,9079   -17,2163   
Итерация 19: 300,4781   151,9184   1072,8509   -16,3436   
Итерация 20: 300,4676   150,7807   1074,1844   -15,4916   
Итерация 21: 300,4238   149,8267   1074,9695   -14,6888   
Итерация 22: 300,4201   149,054   1075,8662   -14,1229   
Итерация 23: 300,3709   148,2792   1076,3401   -13,4315   
Итерация 24: 300,3792   147,57   1077,1957   -12,9167   
Итерация 25: 300,3533   146,8736   1077,7741   -12,3345   
Итерация 26: 300,416   145,9131   1079,7674   -11,823   
Итерация 27: 300,3658   145,4889   1079,9126   -11,4142   
Итерация 28: 300,3251   144,9946   1080,1738   -10,9559   
Итерация 29: 300,3949   143,9628   1082,823   -10,4911   
Итерация 30: 300,3359   143,6224   1082,7603   -10,1191   
Итерация 31: 300,2955   143,3541   1082,7794   -9,857   
Итерация 32: 300,2909   142,8154   1083,4422   -9,4401   
Итерация 33: 300,2633   142,6179   1083,4644   -9,248   
Итерация 34: 300,2496   142,272   1083,7424   -8,9579   
Итерация 35: 300,3139   141,6923   1085,2852   -8,7267   
Итерация 36: 300,2862   141,4269   1085,448   -8,4876   
Итерация 37: 300,2524   141,1924   1085,4629   -8,2468   
Итерация 38: 300,2268   141,0286   1085,4467   -8,0732   
Итерация 39: 300,2918   140,4958   1086,9687   -7,8835   
Итерация 40: 300,2513   140,2452   1086,943   -7,609   
Итерация 41: 300,2595   140,0752   1087,3211   -7,5292   
Итерация 42: 300,2182   139,8354   1087,2595   -7,2565   
Итерация 43: 300,2139   139,7878   1087,2896   -7,2225   
Итерация 44: 300,1883   139,619   1087,2705   -7,0399   
Итерация 45: 300,1534   139,4165   1087,2119   -6,8087   
Итерация 46: 300,1676   139,2518   1087,4395   -6,7031   
Итерация 47: 300,1595   139,1627   1087,4639   -6,6204   
Итерация 48: 300,1712   138,9793   1087,6868   -6,4914   
Итерация 49: 300,1531   138,8568   1087,6718   -6,3595   
Итерация 50: 300,2463   138,3323   1089,3699   -6,2255   
Итерация 51: 300,2402   138,1024   1089,8534   -6,0927   
Итерация 52: 300,2338   138,0389   1089,9132   -6,0423   
Итерация 53: 300,2602   137,8113   1090,8956   -6,0312   
Итерация 54: 300,278   137,4016   1092,7351   -6,0055   
Итерация 55: 300,3353   135,1571   1105,5327   -6,3822   
Итерация 56: 300,252   134,6426   1105,2944   -5,6854   
Итерация 57: 300,2329   134,604   1105,2868   -5,7198   
Итерация 58: 300,2491   134,6923   1105,3272   -5,83   
Итерация 59: 300,2948   134,6314   1106,0571   -5,9443   
Итерация 60: 300,2423   134,3423   1105,9327   -5,5882   
Итерация 61: 300,2608   133,5034   1109,1424   -5,3229   
Итерация 62: 300,2619   133,5748   1109,2042   -5,5009   
