Итерация 1: 1738,7235   1538,131   864,0578   -3955,9545   
Итерация 2: 421,3693   323,8358   904,4219   -215,514   
Итерация 3: 335,1339   229,6066   1040,8966   -105,283   
Итерация 4: 312,2689   192,0544   1084,1243   -64,2056   
Итерация 5: 304,1463   175,2032   1105,584   -47,7646   
Итерация 6: 300,3952   164,9246   1118,0709   -38,2261   
Итерация 7: 295,3525   158,9953   1127,3083   -31,6996   
Итерация 8: 291,3841   155,539   1132,4838   -27,3819   
Итерация 9: 288,0128   153,0164   1136,6027   -24,0554   
Итерация 10: 284,6293   151,0795   1140,7038   -21,2705   
Итерация 11: 282,4327   149,6481   1143,0514   -19,2603   
Итерация 12: 280,2876   148,5172   1145,1853   -17,4984   
Итерация 13: 278,7197   147,6491   1146,5204   -16,1398   
Итерация 14: 276,9463   146,9714   1148,0576   -14,9003   
Итерация 15: 275,3636   146,4384   1149,3548   -13,8499   
Итерация 16: 273,1709   146,1482   1151,1983   -12,8321   
Итерация 17: 271,5605   145,8821   1152,4434   -12,0195   
Итерация 18: 270,8456   145,5266   1152,8761   -11,4105   
Итерация 19: 270,1754   145,163   1153,2636   -10,8023   
Итерация 20: 269,5168   144,8649   1153,6621   -10,2612   
Итерация 21: 268,8235   144,6337   1154,102   -9,7805   
Итерация 22: 268,0229   144,4681   1154,6438   -9,3288   
Итерация 23: 267,1676   144,329   1155,216   -8,879   
Итерация 24: 266,7776   144,126   1155,4164   -8,5288   
Итерация 25: 265,9438   144,0646   1155,9685   -8,1633   
Итерация 26: 265,1886   144,0583   1156,4643   -7,8876   
Итерация 27: 264,8155   143,8814   1156,6374   -7,5605   
Итерация 28: 262,1827   144,4396   1158,4811   -7,1644   
Итерация 29: 261,8552   144,3468   1158,6422   -6,9452   
