Итерация 1: 984,9486   -1438,1953   1034,1666   
Итерация 2: 503,6379   -184,3863   624,4865   
Итерация 3: 461,9836   -92,5264   588,6277   
Итерация 4: 447,7572   -61,7808   577,0252   
Итерация 5: 440,5005   -46,3737   571,4197   
Итерация 6: 436,1166   -37,1052   568,1758   
Итерация 7: 433,1043   -30,9476   566,0327   
Итерация 8: 431,0113   -26,5226   564,5778   
Итерация 9: 429,3776   -23,2203   563,4749   
Итерация 10: 428,1085   -20,6493   562,6345   
Итерация 11: 427,1221   -18,5856   561,9894   
Итерация 12: 426,2723   -16,9053   561,4451   
Итерация 13: 425,5797   -15,5019   561,0058   
Итерация 14: 425,025   -14,3094   560,6554   
Итерация 15: 424,5014   -13,2947   560,3314   
Итерация 16: 424,0943   -12,4088   560,0785   
Итерация 17: 423,7049   -11,6382   559,8408   
Итерация 18: 423,375   -10,9564   559,6399   
Итерация 19: 423,0561   -10,354   559,4485   
Итерация 20: 422,8359   -9,807   559,3135   
Итерация 21: 422,5778   -9,3221   559,1602   
Итерация 22: 422,3701   -8,88   559,036   
Итерация 23: 422,1671   -8,4802   558,916   
Итерация 24: 422,0121   -8,1118   558,8231   
Итерация 25: 421,8603   -7,7754   558,7331   
Итерация 26: 421,7114   -7,4671   558,6456   
Итерация 27: 421,5647   -7,1829   558,5601   
Итерация 28: 421,4637   -6,9174   558,4998   
Итерация 29: 421,3209   -6,6744   558,4178   
Итерация 30: 421,223   -6,4456   558,3603   
Итерация 31: 421,1264   -6,2326   558,304   
Итерация 32: 421,0309   -6,0332   558,2486   
Итерация 33: 420,9794   -5,844   558,2171   
Итерация 34: 421,0571   -5,6559   558,2546   
Итерация 35: 420,8359   -5,5032   558,1333   
Итерация 36: 420,7439   -5,3485   558,0811   
Итерация 37: 420,6951   -5,2003   558,0521   
Итерация 38: 420,6469   -5,0612   558,0237   
Итерация 39: 420,5567   -4,9307   557,9731   
Итерация 40: 420,5094   -4,8058   557,9455   
Итерация 41: 420,4624   -4,686   557,9182   
Итерация 42: 420,4159   -4,5729   557,8912   
Итерация 43: 420,3697   -4,466   557,8646   
Итерация 44: 420,3237   -4,3634   557,8383   
Итерация 45: 420,2781   -4,2657   557,8122   
Итерация 46: 420,2748   -4,1702   557,8087   
Итерация 47: 420,2296   -4,081   557,783   
Итерация 48: 420,1847   -3,9954   557,7576   
Итерация 49: 420,1399   -3,9136   557,7323   
Итерация 50: 420,1373   -3,8345   557,7295   
Итерация 51: 420,0929   -3,7588   557,7046   
Итерация 52: 420,0487   -3,6866   557,6798   
Итерация 53: 420,0465   -3,6166   557,6774   
Итерация 54: 420,0026   -3,5492   557,6529   
Итерация 55: 420,0006   -3,4837   557,6506   
Итерация 56: 419,9569   -3,4221   557,6264   
Итерация 57: 419,9551   -3,3616   557,6244   
Итерация 58: 419,9116   -3,3036   557,6002   
Итерация 59: 419,91   -3,2472   557,5984   
Итерация 60: 419,8667   -3,1933   557,5745   
Итерация 61: 419,8653   -3,1415   557,5728   
Итерация 62: 419,8221   -3,0908   557,549   
Итерация 63: 419,8208   -3,0422   557,5475   
Итерация 64: 419,8195   -2,9928   557,5459   
Итерация 65: 419,7766   -2,9488   557,5224   
Итерация 66: 419,7754   -2,9031   557,521   
Итерация 67: 419,7743   -2,8602   557,5197   
Итерация 68: 419,7315   -2,8189   557,4963   
Итерация 69: 419,7305   -2,7783   557,495   
Итерация 70: 419,7295   -2,7372   557,4938   
Итерация 71: 419,7285   -2,6992   557,4926   
Итерация 72: 419,686   -2,6633   557,4694   
Итерация 73: 419,6851   -2,6262   557,4683   
Итерация 74: 419,6842   -2,5905   557,4672   
Итерация 75: 419,6834   -2,5564   557,4662   
Итерация 76: 419,641   -2,5233   557,4431   
Итерация 77: 419,6402   -2,4903   557,4421   
Итерация 78: 419,6395   -2,4589   557,4412   
Итерация 79: 419,6387   -2,4271   557,4403   
Итерация 80: 419,638   -2,3971   557,4394   
Итерация 81: 419,5958   -2,3686   557,4164   
Итерация 82: 419,5951   -2,3399   557,4156   
Итерация 83: 419,5945   -2,3109   557,4148   
Итерация 84: 419,5939   -2,2838   557,414   
Итерация 85: 419,5518   -2,2583   557,3911   
Итерация 86: 419,5512   -2,2329   557,3904   
Итерация 87: 419,5506   -2,2071   557,3897   
