Итерация 1: 983,7827   -1436,979   1034,396   
Итерация 2: 591,5443   -280,9582   701,1288   
Итерация 3: 538,7836   -140,9815   632,2582   
Итерация 4: 520,3416   -94,1527   609,6266   
Итерация 5: 510,0279   -70,7395   599,054   
Итерация 6: 502,9631   -56,6569   593,436   
Итерация 7: 498,0334   -47,2654   589,6334   
Итерация 8: 494,32   -40,5689   586,8053   
Итерация 9: 491,5083   -35,5142   584,677   
Итерация 10: 489,1234   -31,61   582,8884   
Итерация 11: 487,191   -28,4693   581,4428   
Итерация 12: 485,4829   -25,9109   580,1712   
Итерация 13: 484,027   -23,7712   579,0882   
Итерация 14: 482,7189   -21,9633   578,1168   
Итерация 15: 481,5387   -20,4148   577,241   
Итерация 16: 480,4722   -19,0712   576,4492   
Итерация 17: 479,509   -17,8936   575,7334   
Итерация 18: 478,6414   -16,8513   575,0873   
Итерация 19: 477,7943   -15,9308   574,4567   
Итерация 20: 477,033   -15,1029   573,8884   
Итерация 21: 476,2856   -14,3625   573,3302   
Итерация 22: 475,6179   -13,6873   572,8298   
Итерация 23: 474,9597   -13,077   572,3361   
Итерация 24: 474,3773   -12,5152   571,8975   
Итерация 25: 473,8015   -12,0019   571,4633   
Итерация 26: 473,2316   -11,5321   571,0328   
Итерация 27: 472,6671   -11,1008   570,6058   
Итерация 28: 472,1739   -10,6961   570,2311   
Итерация 29: 471,6845   -10,3224   569,8587   
Итерация 30: 471,2647   -9,9689   569,5377   
Итерация 31: 470,7817   -9,6463   569,1686   
Итерация 32: 470,3674   -9,3403   568,8507   
Итерация 33: 469,9555   -9,0546   568,534   
Итерация 34: 469,5457   -8,7864   568,2182   
Итерация 35: 469,2033   -8,5298   567,9532   
Итерация 36: 468,797   -8,2942   567,6388   
Итерация 37: 468,4578   -8,0672   567,3752   
Итерация 38: 468,1199   -7,8534   567,112   
Итерация 39: 467,7831   -7,6507   566,8492   
Итерация 40: 467,4475   -7,4594   566,5868   
Итерация 41: 467,113   -7,2781   566,3247   
Итерация 42: 466,7795   -7,1071   566,063   
Итерация 43: 466,5118   -6,9393   565,8519   
Итерация 44: 466,18   -6,7849   565,5905   
Итерация 45: 465,9138   -6,6327   565,3798   
Итерация 46: 465,6482   -6,4872   565,1692   
Итерация 47: 465,3832   -6,3497   564,9587   
Итерация 48: 465,1187   -6,2174   564,7482   
Итерация 49: 464,8549   -6,0931   564,5378   
Итерация 50: 464,5915   -5,972   564,3274   
Итерация 51: 464,393   -5,8532   564,1681   
Итерация 52: 464,1304   -5,7426   563,9575   
Итерация 53: 463,8683   -5,6375   563,7471   
Итерация 54: 463,6709   -5,5303   563,5878   
Итерация 55: 463,4738   -5,4302   563,4286   
Итерация 56: 463,2127   -5,3369   563,2178   
Итерация 57: 463,0162   -5,242   563,0585   
Итерация 58: 462,8199   -5,1515   562,8991   
Итерация 59: 462,6239   -5,0658   562,7397   
Итерация 60: 462,4281   -4,9808   562,5801   
Итерация 61: 462,2325   -4,9015   562,4206   
Итерация 62: 462,0372   -4,8236   562,2609   
Итерация 63: 461,842   -4,7475   562,1012   
Итерация 64: 461,6471   -4,6759   561,9414   
Итерация 65: 461,4524   -4,6066   561,7817   
Итерация 66: 461,2578   -4,5375   561,6218   
Итерация 67: 461,1274   -4,4687   561,5141   
