Итерация 1: 52,0228   4,9508   39,1475   
Итерация 2: 12,4674   -22,4964   21,8395   
Итерация 3: 12,5343   -22,4439   21,8858   
Итерация 4: 12,4326   -22,5232   21,8203   
Итерация 5: 7,0662   -19,773   22,3515   
Итерация 6: 3,7391   -18,1397   22,6466   
Итерация 7: 1,5796   -17,0595   22,8699   
Итерация 8: 0,0269   -16,2966   23,0443   
Итерация 9: -1,1985   -15,6816   23,1923   
Итерация 10: -2,1893   -15,202   23,3268   
Итерация 11: -2,9422   -14,8265   23,4546   
Итерация 12: -3,6283   -14,5199   23,5684   
Итерация 13: -4,1486   -14,2682   23,6788   
Итерация 14: -4,5988   -13,8758   23,8233   
Итерация 15: -4,6622   -13,2009   23,6079   
Итерация 16: -4,4697   -12,28   23,3368   
Итерация 17: -4,249   -11,402   23,1002   
Итерация 18: -4,1011   -10,7047   22,8779   
Итерация 19: -3,9466   -10,0567   22,6786   
Итерация 20: -3,7953   -9,4628   22,4973   
Итерация 21: -3,6982   -8,9896   22,3253   
Итерация 22: -3,57   -8,5066   22,171   
Итерация 23: -3,4616   -8,0825   22,0265   
Итерация 24: -3,3765   -7,7173   21,8899   
Итерация 25: -3,2709   -7,3465   21,7651   
Итерация 26: -3,1945   -7,0365   21,6458   
Итерация 27: -3,1013   -6,722   21,5364   
Итерация 28: -3,0412   -6,4686   21,4308   
Итерация 29: -2,9709   -6,2126   21,3306   
Итерация 30: -2,9323   -6,0156   21,2362   
Итерация 31: -2,8401   -5,7539   21,1479   
Итерация 32: -2,7844   -5,5535   21,0635   
Итерация 33: -2,7213   -5,3518   20,9832   
Итерация 34: -2,6972   -5,2104   20,9053   
Итерация 35: -2,6206   -5,0055   20,832   
Итерация 36: -2,5855   -4,862   20,7604   
Итерация 37: -2,5417   -4,7158   20,694   
Итерация 38: -2,4946   -4,5694   20,6292   
Итерация 39: -2,4436   -4,4226   20,5665   
Итерация 40: -2,4329   -4,3345   20,5075   
Итерация 41: -2,3745   -4,1862   20,4483   
Итерация 42: -2,3553   -4,096   20,3943   
Итерация 43: -2,3342   -4,0052   20,341   
Итерация 44: -2,2628   -3,8543   20,2888   
Итерация 45: -2,2383   -3,7642   20,2374   
Итерация 46: -2,2074   -3,672   20,19   
Итерация 47: -2,1735   -3,5792   20,1443   
Итерация 48: -2,1404   -3,4874   20,0977   
Итерация 49: -2,148   -3,4515   20,0568   
Итерация 50: -2,1108   -3,3584   20,0118   
Итерация 51: -2,0696   -3,2647   19,9694   
Итерация 52: -2,0725   -3,2277   19,9313   
Итерация 53: -2,026   -3,1326   19,8917   
Итерация 54: -2,0249   -3,0945   19,856   
Итерация 55: -1,9769   -2,9999   19,8167   
Итерация 56: -1,9759   -2,9624   19,7805   
Итерация 57: -1,9258   -2,8683   19,7421   
Итерация 58: -1,9197   -2,8295   19,7093   
Итерация 59: -1,9105   -2,7894   19,6784   
Итерация 60: -1,8981   -2,7481   19,6495   
Итерация 61: -1,8463   -2,6552   19,6106   
Итерация 62: -1,8329   -2,6144   19,5823   
Итерация 63: -1,8212   -2,5746   19,5526   
Итерация 64: -1,8112   -2,5356   19,5214   
Итерация 65: -1,7919   -2,4928   19,4966   
Итерация 66: -1,7799   -2,4533   19,4664   
Итерация 67: -1,7638   -2,4124   19,439   
Итерация 68: -1,7494   -2,3723   19,4101   
Итерация 69: -1,7307   -2,3308   19,3842   
Итерация 70: -1,7136   -2,2902   19,357   
Итерация 71: -1,692   -2,2479   19,3329   
Итерация 72: -1,672   -2,2067   19,3075   
Итерация 73: -1,6536   -2,1664   19,2809   
Итерация 74: -1,6368   -2,1272   19,2531   
Итерация 75: -1,6565   -2,1357   19,2392   
Итерация 76: -1,6355   -2,0945   19,2136   
Итерация 77: -1,6093   -2,0515   19,1918   
Итерация 78: -1,5915   -2,0125   19,1639   
Итерация 79: -1,5683   -1,9716   19,1399   
Итерация 80: -1,5896   -1,9808   19,1249   
Итерация 81: -1,5615   -1,9378   19,1038   
Итерация 82: -1,5348   -1,8958   19,0816   
Итерация 83: -1,5571   -1,9055   19,0659   
Итерация 84: -1,5326   -1,8646   19,0417   
Итерация 85: -1,502   -1,8214   19,0219   
Итерация 86: -1,4806   -1,7828   18,9957   
Итерация 87: -1,4963   -1,7897   18,9846   
Итерация 88: -1,4692   -1,7487   18,9619   
Итерация 89: -1,4854   -1,7558   18,9505   
Итерация 90: -1,4604   -1,7159   18,9259   
Итерация 91: -1,4287   -1,6736   18,9062   
Итерация 92: -1,4455   -1,681   18,8944   
Итерация 93: -1,4158   -1,6398   18,8729   
Итерация 94: -1,4331   -1,6474   18,8607   
Итерация 95: -1,4054   -1,6073   18,8375   
Итерация 96: -1,4143   -1,6112   18,8312   
Итерация 97: -1,3887   -1,5723   18,8062   
Итерация 98: -1,3646   -1,5348   18,7803   
Итерация 99: -1,3738   -1,5388   18,7738   
Итерация 100: -1,3831   -1,5429   18,7673   
Итерация 101: -1,3525   -1,5025   18,7453   
Итерация 102: -1,3233   -1,4633   18,7225   
Итерация 103: -1,3426   -1,4718   18,7089   
Итерация 104: -1,3523   -1,4761   18,7021   
Итерация 105: -1,316   -1,4338   18,6837   
Итерация 106: -1,3259   -1,4383   18,6767   
Итерация 107: -1,3015   -1,4017   18,6497   
Итерация 108: -1,3117   -1,4062   18,6425   
Итерация 109: -1,2791   -1,3664   18,6212   
Итерация 110: -1,2896   -1,3711   18,6138   
Итерация 111: -1,3   -1,3757   18,6065   
Итерация 112: -1,27   -1,3372   18,5828   
Итерация 113: -1,2807   -1,342   18,5753   
Итерация 114: -1,2418   -1,3   18,5577   
Итерация 115: -1,2528   -1,305   18,5499   
Итерация 116: -1,2639   -1,31   18,5422   
Итерация 117: -1,2273   -1,2692   18,5225   
Итерация 118: -1,2387   -1,2743   18,5145   
Итерация 119: -1,2039   -1,2349   18,4936   
Итерация 120: -1,2155   -1,2402   18,4854   
Итерация 121: -1,2272   -1,2454   18,4773   
Итерация 122: -1,1949   -1,2075   18,4542   
Итерация 123: -1,2067   -1,2128   18,4459   
Итерация 124: -1,1643   -1,1708   18,43   
