Итерация 1: 11,1439392   8,69629994   -0,23644239   2,37469153   9,72158488   14,07814426   7,14193068   12,81255719   9,05533   12,57691324   
Итерация 2: 11,1440111   8,6963495   -0,21495069   2,37472964   9,72167497   14,07822977   7,14197565   12,8126835   9,05542911   12,57697182   
Итерация 3: 11,14362502   8,69609332   -0,19704595   2,37453612   9,72120824   14,07778055   7,14173699   12,81202602   9,05491676   12,57667003   
Итерация 4: 11,14297837   8,69566315   -0,18189802   2,37421076   9,72042461   14,07702705   7,14133695   12,8109225   9,05405642   12,57616315   
Итерация 5: 11,14218867   8,69513741   -0,16891551   2,37381296   9,71946693   14,07610646   7,1408483   12,80957401   9,05300493   12,5755436   
Итерация 6: 11,14132521   8,69456235   -0,15765759   2,37337777   9,71841944   14,07509967   7,14031394   12,80809911   9,05185481   12,57486591   
Итерация 7: 11,14043295   8,69396797   -0,14781275   2,3729279   9,71733676   14,07405916   7,13976172   12,80657473   9,05066604   12,57416544   
Итерация 8: 11,1395416   8,69337411   -0,13913265   2,3724784   9,71625506   14,07301963   7,13921004   12,80505174   9,04947833   12,57346557   
Итерация 9: 11,13866422   8,6927895   -0,13140459   2,37203588   9,71519019   14,07199633   7,13866699   12,80355247   9,0483091   12,5727766   
Итерация 10: 11,1378116   8,69222134   -0,12449522   2,3716058   9,71415531   14,07100186   7,13813925   12,80209544   9,04717279   12,57210701   
Итерация 11: 11,13699177   8,691675   -0,11828337   2,37119221   9,71316016   14,07004561   7,1376318   12,80069436   9,04608011   12,57146313   
Итерация 12: 11,13620367   8,69114977   -0,11265016   2,37079461   9,71220348   14,06912633   7,13714397   12,79934745   9,04502966   12,57084414   
Итерация 13: 11,13545221   8,69064896   -0,10754152   2,37041547   9,71129126   14,06824978   7,13667883   12,79806314   9,04402802   12,5702539   
Итерация 14: 11,13473339   8,69016987   -0,10286407   2,37005279   9,71041863   14,06741129   7,13623388   12,79683457   9,04306985   12,56968928   
Итерация 15: 11,13405062   8,6897148   -0,09858889   2,36970827   9,70958974   14,06661483   7,13581125   12,79566758   9,04215971   12,56915296   
Итерация 16: 11,1333985   8,68928015   -0,09464287   2,36937921   9,70879804   14,06585412   7,13540758   12,79455296   9,0412904   12,5686407   
Итерация 17: 11,13278004   8,68886792   -0,09101295   2,36906713   9,70804719   14,06513266   7,13502475   12,79349586   9,04046595   12,56815487   
Итерация 18: 11,13218908   8,68847403   -0,08763875   2,36876892   9,70732973   14,06444329   7,13465894   12,79248576   9,03967816   12,56769064   
Итерация 19: 11,13162693   8,68809932   -0,08451194   2,36848523   9,70664722   14,0637875   7,13431095   12,79152487   9,03892874   12,56724903   
Итерация 20: 11,13109343   8,68774371   -0,08160682   2,36821601   9,7059995   14,06316514   7,13398071   12,79061297   9,03821752   12,56682992   
Итерация 21: 11,13058271   8,68740327   -0,0788828   2,36795827   9,70537941   14,06256935   7,13366456   12,78973997   9,03753665   12,5664287   
Итерация 22: 11,13009825   8,68708034   -0,07634713   2,36771377   9,70479121   14,06200419   7,13336467   12,78891186   9,03689079   12,56604811   
Итерация 23: 11,12963544   8,68677184   -0,07396334   2,36748021   9,7042293   14,06146428   7,13307818   12,78812076   9,03627379   12,56568452   
Итерация 24: 11,1291917   8,68647604   -0,07171765   2,36725626   9,70369051   14,06094661   7,13280349   12,78736223   9,03568219   12,56533591   
Итерация 25: 11,12877036   8,68619518   -0,0696168   2,36704361   9,70317894   14,06045507   7,13254267   12,786642   9,03512046   12,56500489   
Итерация 26: 11,12836483   8,68592485   -0,06762279   2,36683895   9,70268655   14,05998198   7,13229163   12,78594879   9,03457981   12,56468629   
Итерация 27: 11,12797758   8,68566671   -0,06574607   2,3666435   9,70221636   14,05953021   7,13205191   12,78528683   9,03406352   12,56438205   
Итерация 28: 11,12760875   8,68542084   -0,06397717   2,36645736   9,70176853   14,05909993   7,1318236   12,78465635   9,03357179   12,56409229   
Итерация 29: 11,12725455   8,68518473   -0,06229494   2,36627859   9,70133846   14,05868672   7,13160434   12,78405087   9,03309956   12,56381401   
Итерация 30: 11,12691295   8,68495701   -0,06069241   2,36610618   9,70092369   14,0582882   7,13139288   12,78346694   9,03264413   12,56354563   
Итерация 31: 11,12658802   8,6847404   -0,05918304   2,36594218   9,70052916   14,05790913   7,13119173   12,78291149   9,03221091   12,56329035   
Итерация 32: 11,12627508   8,68453179   -0,05774061   2,36578424   9,70014918   14,05754405   7,13099801   12,78237654   9,03179369   12,56304448   
Итерация 33: 11,1259724   8,68433001   -0,05636028   2,36563147   9,69978166   14,05719093   7,13081064   12,78185912   9,03139013   12,56280668   
Итерация 34: 11,12568233   8,68413664   -0,05505074   2,36548506   9,69942945   14,05685253   7,13063108   12,78136326   9,03100339   12,56257878   
Итерация 35: 11,12540517   8,68395188   -0,0538071   2,36534517   9,69909291   14,05652918   7,1304595   12,78088947   9,03063386   12,56236102   
Итерация 36: 11,12513734   8,68377333   -0,05261222   2,36520999   9,6987677   14,05621672   7,13029371   12,78043162   9,03027677   12,56215059   
Итерация 37: 11,12487734   8,6836   -0,05146272   2,36507876   9,69845199   14,05591339   7,13013275   12,77998715   9,02993011   12,56194631   
Итерация 38: 11,12462772   8,6834336   -0,05036862   2,36495277   9,69814889   14,05562217   7,12997823   12,77956043   9,0295973   12,56175019   
Итерация 39: 11,1243889   8,68327439   -0,04932664   2,36483223   9,69785891   14,05534356   7,12983039   12,77915218   9,02927889   12,56156255   
Итерация 40: 11,12415733   8,68312001   -0,04832058   2,36471534   9,69757772   14,05507339   7,12968704   12,77875631   9,02897013   12,56138061   
Итерация 41: 11,12393173   8,68296962   -0,0473482   2,36460147   9,69730379   14,0548102   7,12954738   12,77837065   9,02866934   12,56120336   
Итерация 42: 11,12371485   8,68282504   -0,0464205   2,36449201   9,69704044   14,05455718   7,12941313   12,7779999   9,02838018   12,56103296   
Итерация 43: 11,12350521   8,68268528   -0,04552851   2,36438619   9,69678589   14,05431261   7,12928335   12,77764153   9,02810067   12,56086825   
