Итерация 1: 15,08478206   -0,00983961   96,42668724   
Итерация 2: 15,08498523   -0,00894628   96,42656879   
Итерация 3: 15,08515546   -0,00820161   96,42646958   
Итерация 4: 15,08530014   -0,00757135   96,42638529   
Итерация 5: 15,08542462   -0,00703105   96,4263128   
Итерация 6: 15,08553285   -0,00656274   96,42624978   
Итерация 7: 15,08562782   -0,00615292   96,4261945   
Итерация 8: 15,08571182   -0,0057913   96,42614561   
Итерация 9: 15,08578665   -0,00546979   96,42610207   
Итерация 10: 15,08585374   -0,00518209   96,42606303   
Итерация 11: 15,08591422   -0,00492317   96,42602785   
Итерация 12: 15,08596903   -0,0046889   96,42599597   
Итерация 13: 15,08601893   -0,00447587   96,42596695   
Итерация 14: 15,08606454   -0,00428141   96,42594043   
Итерация 15: 15,08610641   -0,00410311   96,42591608   
Итерация 16: 15,08614497   -0,00393906   96,42589366   
Итерация 17: 15,08618059   -0,00378766   96,42587295   
Итерация 18: 15,08621362   -0,00364743   96,42585376   
Итерация 19: 15,0862443   -0,00351724   96,42583592   
Итерация 20: 15,0862729   -0,003396   96,4258193   
Итерация 21: 15,08629943   -0,00328358   96,42580388   
Итерация 22: 15,08632444   -0,00317767   96,42578934   
Итерация 23: 15,08634789   -0,00307841   96,42577571   
Итерация 24: 15,08636994   -0,00298514   96,4257629   
Итерация 25: 15,08639071   -0,00289735   96,42575083   
Итерация 26: 15,0864103   -0,00281458   96,42573945   
Итерация 27: 15,0864288   -0,00273642   96,4257287   
Итерация 28: 15,08644632   -0,00266248   96,42571852   
Итерация 29: 15,08646292   -0,00259243   96,42570887   
Итерация 30: 15,08647868   -0,00252596   96,42569972   
Итерация 31: 15,08649366   -0,00246283   96,42569101   
Итерация 32: 15,08650791   -0,00240276   96,42568273   
Итерация 33: 15,08652148   -0,00234557   96,42567485   
Итерация 34: 15,08653444   -0,00229103   96,42566732   
Итерация 35: 15,0865468   -0,00223897   96,42566014   
Итерация 36: 15,08655862   -0,00218922   96,42565327   
Итерация 37: 15,08656993   -0,00214163   96,4256467   
Итерация 38: 15,08658077   -0,00209607   96,42564041   
Итерация 39: 15,08659115   -0,00205241   96,42563438   
Итерация 40: 15,08660111   -0,00201053   96,4256286   
Итерация 41: 15,08661068   -0,00197033   96,42562304   
Итерация 42: 15,08661987   -0,0019317   96,4256177   
Итерация 43: 15,08662871   -0,00189455   96,42561256   
Итерация 44: 15,08663722   -0,00185882   96,42560762   
Итерация 45: 15,08664542   -0,00182439   96,42560286   
Итерация 46: 15,08665332   -0,00179123   96,42559827   
Итерация 47: 15,08666094   -0,00175925   96,42559385   
Итерация 48: 15,08666829   -0,00172838   96,42558958   
Итерация 49: 15,08667539   -0,00169859   96,42558545   
Итерация 50: 15,08668225   -0,0016698   96,42558147   
Итерация 51: 15,08668889   -0,00164198   96,42557762   
Итерация 52: 15,08669531   -0,00161506   96,42557389   
Итерация 53: 15,08670152   -0,00158902   96,42557028   
Итерация 54: 15,08670753   -0,0015638   96,42556679   
Итерация 55: 15,08671336   -0,00153936   96,4255634   
Итерация 56: 15,08671901   -0,00151567   96,42556012   
Итерация 57: 15,08672449   -0,00149272   96,42555694   
Итерация 58: 15,08672981   -0,00147044   96,42555385   
Итерация 59: 15,08673497   -0,00144882   96,42555086   
Итерация 60: 15,08673998   -0,00142783   96,42554795   
Итерация 61: 15,08674485   -0,00140744   96,42554512   
Итерация 62: 15,08674958   -0,00138761   96,42554237   
Итерация 63: 15,08675419   -0,00136834   96,4255397   
Итерация 64: 15,08675866   -0,0013496   96,4255371   
Итерация 65: 15,08676302   -0,00133137   96,42553457   
Итерация 66: 15,08676726   -0,00131361   96,42553211   
Итерация 67: 15,08677139   -0,00129633   96,42552971   
Итерация 68: 15,08677541   -0,0012795   96,42552737   
Итерация 69: 15,08677933   -0,0012631   96,4255251   
Итерация 70: 15,08678315   -0,00124711   96,42552288   
Итерация 71: 15,08678688   -0,00123151   96,42552071   
Итерация 72: 15,08679051   -0,00121632   96,42551861   
Итерация 73: 15,08679406   -0,00120148   96,42551655   
Итерация 74: 15,08679752   -0,00118701   96,42551454   
Итерация 75: 15,0868009   -0,00117288   96,42551258   
Итерация 76: 15,08680419   -0,00115908   96,42551066   
Итерация 77: 15,08680742   -0,0011456   96,42550879   
Итерация 78: 15,08681057   -0,00113244   96,42550696   
Итерация 79: 15,08681364   -0,00111957   96,42550517   
Итерация 80: 15,08681665   -0,00110699   96,42550343   
Итерация 81: 15,0868196   -0,00109468   96,42550172   
Итерация 82: 15,08682247   -0,00108267   96,42550005   
Итерация 83: 15,08682529   -0,0010709   96,42549841   
Итерация 84: 15,08682804   -0,00105938   96,42549681   
Итерация 85: 15,08683074   -0,00104812   96,42549525   
Итерация 86: 15,08683338   -0,00103708   96,42549372   
Итерация 87: 15,08683597   -0,00102628   96,42549222   
Итерация 88: 15,0868385   -0,0010157   96,42549075   
Итерация 89: 15,08684098   -0,00100534   96,42548931   
Итерация 90: 15,08684341   -0,00099518   96,42548789   
Итерация 91: 15,08684579   -0,00098523   96,42548651   
Итерация 92: 15,08684813   -0,00097547   96,42548516   
Итерация 93: 15,08685041   -0,00096592   96,42548383   
Расстояние до идеальной точки: 128,144103714784
Время работы программы: 0:00.04
Ограничение 1 не нарушено. 
Ограничение 2 не нарушено. 
Ограничение 3 не нарушено. 
Ограничение на неотрицательность X1 не нарушено. 
Ограничение на неотрицательгость X2 нарушено на 0,000965917253350649 единиц. 
Ограничение на неотрицательность X3 не нарушено. 
Штраф (сумма невязок): 0,000965917253350649
