Итерация 1: -0,00107386   3,30914546   2,08112941   5,32937204   1,3321678   
Итерация 2: -0,00097602   3,30912815   2,08113196   5,32933094   1,332177   
Итерация 3: -0,00089469   3,30911365   2,08113409   5,32929652   1,33218471   
Итерация 4: -0,00082588   3,30910132   2,08113591   5,32926723   1,33219126   
Итерация 5: -0,0007669   3,30909069   2,08113748   5,32924199   1,33219691   
Итерация 6: -0,00071577   3,30908144   2,08113884   5,32922001   1,33220183   
Итерация 7: -0,00067104   3,30907331   2,08114004   5,32920071   1,33220615   
Итерация 8: -0,00063178   3,30906615   2,0811411   5,32918372   1,33220996   
Итерация 9: -0,00059667   3,30905974   2,08114204   5,32916849   1,33221337   
Итерация 10: -0,00056526   3,30905398   2,08114289   5,32915482   1,33221643   
Итерация 11: -0,000537   3,30904879   2,08114365   5,32914249   1,33221919   
Итерация 12: -0,00051142   3,30904408   2,08114435   5,32913131   1,33222169   
Итерация 13: -0,00048817   3,3090398   2,08114498   5,32912113   1,33222397   
Итерация 14: -0,00046694   3,30903587   2,08114556   5,32911181   1,33222606   
Итерация 15: -0,00044748   3,30903227   2,08114609   5,32910326   1,33222797   
Итерация 16: -0,00042958   3,30902896   2,08114658   5,32909538   1,33222974   
Итерация 17: -0,00041305   3,30902589   2,08114703   5,3290881   1,33223137   
Итерация 18: -0,00039775   3,30902304   2,08114745   5,32908135   1,33223288   
Итерация 19: -0,00038355   3,3090204   2,08114784   5,32907507   1,33223428   
Итерация 20: -0,00037032   3,30901794   2,0811482   5,32906922   1,33223559   
Итерация 21: -0,00035797   3,30901564   2,08114854   5,32906376   1,33223682   
Итерация 22: -0,00034642   3,30901348   2,08114886   5,32905864   1,33223796   
Итерация 23: -0,00033537   3,30901142   2,08114916   5,32905373   1,33223906   
Итерация 24: -0,00032522   3,30900952   2,08114944   5,32904922   1,33224007   
Итерация 25: -0,00031566   3,30900772   2,08114971   5,32904497   1,33224102   
Итерация 26: -0,00030664   3,30900604   2,08114996   5,32904096   1,33224192   
Итерация 27: -0,00029813   3,30900444   2,08115019   5,32903716   1,33224277   
Итерация 28: -0,00029008   3,30900293   2,08115041   5,32903357   1,33224357   
Итерация 29: -0,00028245   3,30900149   2,08115063   5,32903017   1,33224433   
Итерация 30: -0,00027521   3,30900013   2,08115083   5,32902694   1,33224506   
Итерация 31: -0,00026833   3,30899884   2,08115102   5,32902387   1,33224575   
Итерация 32: -0,00026179   3,30899761   2,0811512   5,32902095   1,3322464   
Итерация 33: -0,00025556   3,30899644   2,08115137   5,32901817   1,33224702   
Итерация 34: -0,00024962   3,30899532   2,08115154   5,32901551   1,33224762   
Итерация 35: -0,00024395   3,30899425   2,08115169   5,32901297   1,33224819   
Итерация 36: -0,00023853   3,30899323   2,08115184   5,32901055   1,33224873   
Итерация 37: -0,00023334   3,30899225   2,08115199   5,32900823   1,33224925   
Итерация 38: -0,00022838   3,30899132   2,08115213   5,32900601   1,33224975   
Итерация 39: -0,00022362   3,30899042   2,08115226   5,32900387   1,33225022   
Итерация 40: -0,00021906   3,30898956   2,08115238   5,32900183   1,33225068   
Итерация 41: -0,00021468   3,30898873   2,08115251   5,32899987   1,33225112   
Итерация 42: -0,00021047   3,30898794   2,08115262   5,32899798   1,33225154   
Итерация 43: -0,00020643   3,30898717   2,08115274   5,32899616   1,33225195   
Итерация 44: -0,00020253   3,30898644   2,08115284   5,32899442   1,33225234   
Итерация 45: -0,00019879   3,30898573   2,08115295   5,32899273   1,33225272   
Итерация 46: -0,00019517   3,30898505   2,08115305   5,32899111   1,33225308   
Итерация 47: -0,00019169   3,30898439   2,08115315   5,32898955   1,33225343   
Итерация 48: -0,00018833   3,30898375   2,08115324   5,32898804   1,33225377   
Итерация 49: -0,00018508   3,30898314   2,08115333   5,32898658   1,33225409   
Итерация 50: -0,00018194   3,30898254   2,08115342   5,32898517   1,33225441   
Итерация 51: -0,00017891   3,30898197   2,0811535   5,32898381   1,33225471   
Итерация 52: -0,00017598   3,30898141   2,08115358   5,32898249   1,33225501   
Итерация 53: -0,00017337   3,30898092   2,08115366   5,32898132   1,33225527   
Итерация 54: -0,00017039   3,30898036   2,08115374   5,32897998   1,33225557   
Итерация 55: -0,00016795   3,30897989   2,08115381   5,32897888   1,33225582   
Итерация 56: -0,00016537   3,30897941   2,08115388   5,32897772   1,33225608   
Итерация 57: -0,00016287   3,30897893   2,08115395   5,3289766   1,33225633   
Итерация 58: -0,00016043   3,30897847   2,08115402   5,3289755   1,33225657   
Итерация 59: -0,00015807   3,30897803   2,08115408   5,32897444   1,33225681   
Итерация 60: -0,00015578   3,30897759   2,08115415   5,32897341   1,33225704   
Итерация 61: -0,00015355   3,30897717   2,08115421   5,32897241   1,33225727   
Итерация 62: -0,00015139   3,30897676   2,08115427   5,32897144   1,33225748   
Итерация 63: -0,00014928   3,30897636   2,08115433   5,32897049   1,3322577   
Итерация 64: -0,00014723   3,30897598   2,08115439   5,32896957   1,3322579   
Итерация 65: -0,00014524   3,3089756   2,08115444   5,32896867   1,3322581   
Итерация 66: -0,00014331   3,30897523   2,0811545   5,3289678   1,3322583   
Итерация 67: -0,00014142   3,30897487   2,08115455   5,32896695   1,33225849   
Итерация 68: -0,00013958   3,30897452   2,0811546   5,32896613   1,33225867   
Итерация 69: -0,00013779   3,30897419   2,08115465   5,32896532   1,33225885   
Итерация 70: -0,00013604   3,30897385   2,0811547   5,32896453   1,33225903   
Итерация 71: -0,00013434   3,30897353   2,08115475   5,32896377   1,3322592   
Итерация 72: -0,00013268   3,30897322   2,08115479   5,32896302   1,33225937   
Итерация 73: -0,00013106   3,30897291   2,08115484   5,32896229   1,33225953   
Итерация 74: -0,00012948   3,30897261   2,08115488   5,32896158   1,33225969   
Итерация 75: -0,00012794   3,30897232   2,08115493   5,32896088   1,33225985   
Итерация 76: -0,00012643   3,30897203   2,08115497   5,32896021   1,33226   
Итерация 77: -0,00012496   3,30897175   2,08115501   5,32895954   1,33226015   
Итерация 78: -0,00012352   3,30897148   2,08115505   5,32895889   1,33226029   
Итерация 79: -0,00012212   3,30897121   2,08115509   5,32895826   1,33226043   
Итерация 80: -0,00012074   3,30897095   2,08115513   5,32895764   1,33226057   
Итерация 81: -0,0001194   3,3089707   2,08115516   5,32895704   1,33226071   
Итерация 82: -0,00011809   3,30897045   2,0811552   5,32895644   1,33226084   
Итерация 83: -0,0001168   3,3089702   2,08115524   5,32895586   1,33226097   
Итерация 84: -0,00011555   3,30896996   2,08115527   5,3289553   1,3322611   
Итерация 85: -0,00011432   3,30896973   2,08115531   5,32895474   1,33226122   
Итерация 86: -0,00011311   3,3089695   2,08115534   5,3289542   1,33226134   
Итерация 87: -0,00011193   3,30896928   2,08115537   5,32895367   1,33226146   
Итерация 88: -0,00011078   3,30896906   2,08115541   5,32895315   1,33226158   
Итерация 89: -0,00010965   3,30896884   2,08115544   5,32895264   1,33226169   
Итерация 90: -0,00010854   3,30896863   2,08115547   5,32895214   1,33226181   
Итерация 91: -0,00010745   3,30896843   2,0811555   5,32895165   1,33226191   
Итерация 92: -0,00010639   3,30896822   2,08115553   5,32895117   1,33226202   
Итерация 93: -0,00010534   3,30896803   2,08115556   5,32895069   1,33226213   
Итерация 94: -0,00010432   3,30896783   2,08115559   5,32895023   1,33226223   
Итерация 95: -0,00010332   3,30896764   2,08115561   5,32894978   1,33226233   
Итерация 96: -0,00010233   3,30896745   2,08115564   5,32894933   1,33226243   
Итерация 97: -0,00010137   3,30896727   2,08115567   5,3289489   1,33226253   
Итерация 98: -0,00010042   3,30896709   2,0811557   5,32894847   1,33226263   
Итерация 99: -9,949E-05   3,30896691   2,08115572   5,32894805   1,33226272   
Итерация 100: -9,857E-05   3,30896674   2,08115575   5,32894764   1,33226281   
Итерация 101: -9,768E-05   3,30896657   2,08115577   5,32894723   1,3322629   
Итерация 102: -9,68E-05   3,3089664   2,0811558   5,32894683   1,33226299   
Расстояние до идеальной точки: 152,177459297716
Время работы программы: 0:00.10
Ограничение 1 не нарушено. 
Ограничение 2 не нарушено. 
Ограничение 3 не нарушено. 
Ограничение на неотрицательгость X1 нарушено на 9,67984244691012E-05 единиц. 
Ограничение на неотрицательность X2 не нарушено. 
Ограничение на неотрицательность X3 не нарушено. 
Ограничение на неотрицательность X4 не нарушено. 
Ограничение на неотрицательность X5 не нарушено. 
Штраф (сумма невязок): 9,67984244691012E-05
