Итерация 1: 14,3619838822288   -0,000878970357186475   95,2311341816479   
Итерация 2: 14,361999901019   -0,000799065923814468   95,2311142626452   
Итерация 3: 14,3620133217291   -0,000732483552699751   95,2310975748011   
Итерация 4: 14,3620247503846   -0,000676046214449585   95,2310833643149   
Итерация 5: 14,3620345651995   -0,000627769004127248   95,2310711607513   
Итерация 6: 14,3620431005862   -0,000585923673133205   95,2310605481984   
Итерация 7: 14,3620505910946   -0,000549306637268257   95,2310512349511   
Итерация 8: 14,3620572163058   -0,000517001172007656   95,2310429976755   
Итерация 9: 14,3620631191545   -0,00048828214595746   95,2310356586185   
Итерация 10: 14,3620684108137   -0,000462587904574707   95,2310290795287   
Итерация 11: 14,3620731823003   -0,00043946071005314   95,2310231472237   
Итерация 12: 14,3620775060006   -0,000418537545011721   95,2310177716898   
Итерация 13: 14,3620814426959   -0,000399514841518267   95,2310128773466   
Итерация 14: 14,3620850415612   -0,000382147532788795   95,2310084030463   
Итерация 15: 14,3620883450525   -0,000366224971078097   95,2310042959973   
Итерация 16: 14,3620913870735   -0,000351578906606329   95,2310005140422   
Итерация 17: 14,3620941984742   -0,000338057126861245   95,2309970188222   
Итерация 18: 14,3620968039955   -0,000325537396617279   95,230993779574   
Итерация 19: 14,3620992253243   -0,000313912814127571   95,2309907693326   
Итерация 20: 14,3621014817038   -0,000303089007027408   95,2309879641713   
Итерация 21: 14,3621035893229   -0,000292986544485586   95,2309853439615   
Итерация 22: 14,3621055622324   -0,000283536446304733   95,230982891233   
Итерация 23: 14,3621074129559   -0,000274677462697408   95,2309805904147   
Итерация 24: 14,3621091527953   -0,000266354431676891   95,2309784274546   
Итерация 25: 14,3621107915251   -0,000258519697055774   95,2309763901996   
Итерация 26: 14,3621123140238   -0,000251242696157452   95,2309744974478   
Итерация 27: 14,3621137748184   -0,000244262360023881   95,2309726814105   
Итерация 28: 14,3621151574129   -0,000237659035328878   95,2309709625949   
Итерация 29: 14,3621164679165   -0,00023140298007191   95,2309693334053   
Итерация 30: 14,362117712133   -0,000225466119802341   95,230967786626   
Итерация 31: 14,3621188937278   -0,000219830447965901   95,2309663176996   
Итерация 32: 14,3621200191159   -0,000214465027424425   95,2309649186509   
Итерация 33: 14,3621210910463   -0,000209356518981069   95,2309635860618   
Итерация 34: 14,36212211349   -0,000204485684709018   95,2309623149954   
Итерация 35: 14,3621230891963   -0,000199839115012048   95,2309611020334   
Итерация 36: 14,3621240227472   -0,000195394811005653   95,2309599414796   
Итерация 37: 14,3621249153644   -0,00019114677018846   95,2309588318146   
Итерация 38: 14,3621257701028   -0,000187080197600047   95,2309577692407   
Итерация 39: 14,362126590017   -0,000183180483576884   95,2309567499604   
Итерация 40: 14,3621273766344   -0,000179440207486471   95,2309557720746   
Итерация 41: 14,3621281317876   -0,000175850539430933   95,2309548333047   
Итерация 42: 14,3621288576152   -0,000172401182539771   95,2309539309924   
Итерация 43: 14,3621295553388   -0,000169086223962942   95,2309530636185   
Итерация 44: 14,3621302270969   -0,000165895365114118   95,2309522285247   
Итерация 45: 14,3621308741112   -0,000162822759009524   95,2309514241919   
Итерация 46: 14,3621314979093   -0,000159861046800307   95,2309506487212   
Итерация 47: 14,3621320994074   -0,000157005861596908   95,2309499009734   
Итерация 48: 14,3621326798275   -0,000154251283966348   95,2309491794293   
Итерация 49: 14,3621332403915   -0,0001515914602015   95,2309484825699   
Итерация 50: 14,3621337823213   -0,000149020566130893   95,2309478088761   
Итерация 51: 14,3621343059222   -0,000146537085910807   95,2309471579682   
Итерация 52: 14,3621348127218   -0,000144133736483852   95,2309465279472   
Итерация 53: 14,3621353030255   -0,000141809027709021   95,2309459184335   
Итерация 54: 14,3621357777497   -0,000139558554102861   95,2309453282877   
Итерация 55: 14,3621362381163   -0,000137376521465124   95,2309447559907   
Итерация 56: 14,3621366841253   -0,000135262853823592   95,2309442015427   
Итерация 57: 14,3621371166931   -0,000133213218236826   95,2309436638041   
Итерация 58: 14,3621375364307   -0,000131224679728084   95,2309431420156   
Итерация 59: 14,3621379439491   -0,000129294306745653   95,2309426354176   
Итерация 60: 14,3621383395537   -0,000127420618948073   95,2309421436303   
Итерация 61: 14,3621387244665   -0,000125597833809753   95,2309416651347   
Итерация 62: 14,3621390977709   -0,000123830263791352   95,23094120107   
Итерация 63: 14,3621394612999   -0,000122109197269812   95,2309407491578   
Итерация 64: 14,362139814748   -0,000120436071019919   95,2309403097776   
Итерация 65: 14,3621401584206   -0,000118809417683423   95,2309398825498   
Итерация 66: 14,3621404932342   -0,000117224876739793   95,2309394663351   
Итерация 67: 14,3621408194944   -0,00011568099962132   95,2309390607537   
Итерация 68: 14,3621411368955   -0,000114179213547562   95,2309386661854   
Итерация 69: 14,362141446354   -0,000112715169800452   95,2309382814908   
Итерация 70: 14,3621417481755   -0,000111287418323621   95,2309379062903   
Итерация 71: 14,3621420420544   -0,00010989737357477   95,2309375409635   
Итерация 72: 14,3621423292127   -0,000108539258452218   95,2309371839915   
Итерация 73: 14,3621426090393   -0,000107215945079991   95,2309368361338   
Итерация 74: 14,3621428821453   -0,000105924536873826   95,2309364966307   
Итерация 75: 14,3621431488361   -0,000104663569544504   95,2309361651026   
Итерация 76: 14,3621434094173   -0,000103431606031895   95,2309358411698   
Итерация 77: 14,3621436638888   -0,000102228643754788   95,2309355248321   
Итерация 78: 14,3621439128615   -0,000101051809249155   95,2309352153301   
Итерация 79: 14,3621441557246   -9,99039466622369E-05   95,2309349134233   
Итерация 80: 14,3621443930889   -9,87821598655353E-05   95,2309346183522   
Итерация 81: 14,3621446255655   -9,7683566124614E-05   95,2309343293572   
Итерация 82: 14,3621448525433   -9,66110355353232E-05   95,2309340471979   
Итерация 83: 14,3621450749389   -9,55602325032054E-05   95,230933770735   
Итерация 84: 14,3621452924467   -9,45326055886013E-05   95,2309335003483   
Итерация 85: 14,3621455053722   -9,35267036223066E-05   95,2309332356579   
Итерация 86: 14,362145714021   -9,25410910177218E-05   95,2309329762842   
Итерация 87: 14,3621459177819   -9,15786226184032E-05   95,2309327229866   
Итерация 88: 14,3621461178771   -9,06335399457466E-05   95,2309324742461   
Расстояние до идеальной точки: 129,088623189787
Время работы программы: 0:00.03
Ограничение 1 не нарушено. 
Ограничение 2 не нарушено. 
Ограничение 3 не нарушено. 
Ограничение на неотрицательность X1 не нарушено. 
Ограничение на неотрицательгость X2 нарушено на 9,06335399457466E-05 единиц. 
Ограничение на неотрицательность X3 не нарушено. 
Штраф (сумма невязок): 9,06335399457466E-05
