Итерация 1: 30,2521   16,2409   -25,0044   -2,5629   24,1142   34,5692   12,0343   51,326   28,0332   26,3645   f = 0,1765
Итерация 2: 30,1836   16,1384   -25,3605   -2,8443   23,9774   34,5688   11,8909   51,2231   27,8622   26,3642   f = 5,9977
Итерация 3: 30,1836   16,1394   -25,348   -2,8393   23,9783   34,5674   11,8927   51,2229   27,8636   26,3633   f = 5,9788
Итерация 4: 30,1828   16,1373   -25,3672   -2,8477   23,9759   34,5688   11,8894   51,222   27,8604   26,3642   f = 6,0589
Итерация 5: 30,1839   16,1398   -25,3429   -2,8376   23,9789   34,5674   11,8934   51,2233   27,8644   26,3633   f = 5,9552
Итерация 6: 30,1817   16,1356   -25,3752   -2,8523   23,9738   34,5687   11,8872   51,2204   27,8577   26,3642   f = 6,1491
Итерация 7: 30,1836   16,1395   -25,34   -2,838   23,9785   34,5673   11,8929   51,223   27,8638   26,3632   f = 5,9777
Итерация 8: 30,1801   16,1333   -25,3852   -2,8589   23,9706   34,5687   11,8839   51,218   27,8538   26,3642   f = 6,2817
Итерация 9: 30,1825   16,138   -25,3401   -2,8416   23,9764   34,5673   11,8908   51,2214   27,8613   26,3632   f = 6,0682
Итерация 10: 30,178   16,1301   -25,3973   -2,8678   23,9663   34,5687   11,8794   51,2148   27,8485   26,3641   f = 6,4639
Итерация 11: 30,1805   16,135   -25,3441   -2,849   23,9724   34,5672   11,8866   51,2183   27,8563   26,3631   f = 6,2443
Итерация 12: 30,1752   16,1261   -25,4118   -2,879   23,9609   34,5686   11,8738   51,2107   27,8417   26,3641   f = 6,6944
Итерация 13: 30,1774   16,1303   -25,3523   -2,8607   23,9662   34,5671   11,8801   51,2136   27,8485   26,3631   f = 6,5132
Итерация 14: 30,1826   16,1393   -25,2768   -2,8297   23,9777   34,5656   11,8931   51,2212   27,8632   26,3621   f = 6,0657
Итерация 15: 30,1756   16,1289   -25,3041   -2,8572   23,9638   34,5654   11,8785   51,2106   27,8458   26,3619   f = 6,6676
Итерация 16: 30,1634   16,1133   -25,2254   -2,8814   23,942   34,5616   11,8577   51,1917   27,8191   26,3594   f = 7,7193
Итерация 17: 30,1485   16,094   -25,1483   -2,9139   23,9151   34,5574   11,8319   51,1687   27,7862   26,3566   f = 9,0014
Итерация 18: 30,1312   16,0712   -25,0726   -2,9543   23,8834   34,5527   11,8013   51,1416   27,7473   26,3534   f = 10,5051
Итерация 19: 30,1254   16,0644   -25,0188   -2,9616   23,8735   34,5501   11,7925   51,1324   27,7353   26,3515   f = 11,0085
Итерация 20: 30,1185   16,0557   -24,9657   -2,9728   23,8612   34,5473   11,7813   51,1212   27,7204   26,3496   f = 11,6171
Итерация 21: 30,0844   16,0122   -24,762   -3,0397   23,7999   34,5357   11,7237   51,0673   27,6456   26,3416   f = 14,5958
Итерация 22: 30,0742   15,9991   -24,7125   -3,0607   23,7814   34,5321   11,7066   51,0509   27,6231   26,339   f = 15,4832
Итерация 23: 28,9082   14,8652   -19,6083   -3,8874   21,9672   33,4779   10,471   48,9586   25,5208   25,5797   f = 109,6359
Итерация 24: 28,8604   14,8153   -19,4445   -3,935   21,8894   33,4388   10,4147   48,873   25,4297   25,5512   f = 113,5526
Итерация 25: 28,8893   14,7544   -19,1291   -4,1546   21,8509   33,5907   10,2865   48,9485   25,3576   25,6551   f = 113,7341
Итерация 26: 28,9791   14,5663   -18,159   -4,7602   21,7251   34,0396   9,9032   49,1614   25,1293   25,9567   f = 114,6557
Итерация 27: 29,1078   14,4049   -17,3986   -5,3083   21,6441   34,5225   9,5519   49,4305   24,9516   26,2784   f = 112,983
Итерация 28: 29,178   14,1983   -16,4593   -5,7408   21,4726   34,9036   9,1796   49,56   24,6766   26,5209   f = 116,1221
Итерация 29: 29,2498   14,0593   -15,8658   -6,031   21,3707   35,2091   8,9167   49,6908   24,5007   26,7165   f = 116,9491
Итерация 30: 29,3474   13,8775   -15,1532   -6,3734   21,2368   35,6074   8,5764   49,8599   24,2699   26,9692   f = 117,8921
Итерация 31: 29,447   13,699   -14,499   -6,6651   21,1042   35,9958   8,2468   50,0228   24,0422   27,2127   f = 118,7099
